"Nominative";"Genitive";"Dative";"Accusative";"Instrumental";"Prepositional"
"Абхазия";"Абхазии";"Абхазии";"Абхазию";"Абхазией";"Абхазии"
"Австралия";"Австралии";"Австралии";"Австралию";"Австралией";"Австралии"
"Австрия";"Австрии";"Австрии";"Австрию";"Австрией";"Австрии"
"Азербайджан";"Азербайджана";"Азербайджану";"Азербайджан";"Азербайджаном";"Азербайджане"
"Азорские острова";"Азорских островов";"Азорским островам";"Азорские острова";"Азорскими островами";"Азорских островах"
"Аландские острова";"Аландских островов";"Аландским островам";"Аландские острова ";"Аландскими островами";"Аландских островах"
"Албания";"Албании";"Албании";"Албанию";"Албанией";"Албании"
"Алжир";"Алжира";"Алжиру";"Алжир";"Алжиром";"Алжире"
"Американское Самоа";"Американского Самоа";"Американскому Самоа";"Американское Самоа";"Американским Самоа";"Американском Самоа"
"Ангилья";"Ангильи";"Ангилье";"Ангилью";"Ангильей";"Ангильи"
"Ангола";"Анголы";"Анголе";"Анголу";"Анголой";"Анголе"
"Андорра";"Андорры";"Андорре";"Андорру";"Андоррой";"Андорре"
"Антигуа и Барбуда";"Антигуа и Барбуды";"Антигуа и Барбуде";"Антигуа и Барбуду";"Антигуа и Барбудой";"Антигуа и Барбуде"
"Макао";"Макао";"Макао";"Макао";"Макао";"Макао"
"Аргентина";"Аргентины";"Аргентине";"Аргентину";"Аргентиной";"Аргентине"
"Армения";"Армении";"Армении";"Армению";"Арменией";"Армении"
"Аруба";"Арубы";"Арубе";"Арубу";"Арубой";"Арубе"
"Афганистан";"Афганистана";"Афганистану";"Афганистан";"Афганистаном";"Афганистану"
"Багамы";"Багам";"Багамам";"Багамы";"Багамами";"Багамах"
"Бангладеш";"Бангладеша";"Бангладешу";"Бангладеш";"Бангладешем";"Бангладеше"
"Барбадос";"Барбадоса";"Барбадосу";"Барбадос";"Барбадосом";"Барбадосе"
"Бахрейн";"Бахрейна";"Бахрейну";"Бахрейн";"Бахрейном";"Бахрейне"
"Белоруссия";"Белоруссии";"Белорусси";"Белоруссию";"Белоруссией";"Белоруссии"
"Белиз";"Белиза";"Белизу";"Белиз";"Белизом";"Белизе"
"Бельгия";"Бельгии";"Бельгии";"Бельгию";"Бельгией";"Бельгии"
"Бенин";"Бенина";"Бенину";"Бенин";"Бенином";"Бенине"
"Бермуды";"Бермуд";"Бермудам";"Бермуды";"Бермудами";"Бермудах"
"Болгария";"Болгарии";"Болгарии";"Болгарию";"Болгарией";"Болгарии"
"Боливия";"Боливии";"Боливии";"Боливию";"Боливией";"Боливии"
"Босния и Герцеговина";"Боснии и Герцеговины";"Боснии и Герцеговине";"Боснию и Герцеговину";"Боснией и Герцеговиной";"Боснии и Герцеговине"
"Ботсвана";"Ботсваны";"Ботсване";"Ботсвану";"Ботсваной";"Ботсване"
"Бразилия";"Бразилии";"Бразилии";"Бразилию";"Бразилией";"Бразилии"
"Британская территория в Индийском океане";"Британских территорий в Индиском океане";"Британской территории в Индийском океане";"Британскую территорию в Индийском океане";"Британской территорией в Индийском океане";"Британской территории в Индийском океане"
"Бруней";"Брунея";"Брунею";"Бруней";"Брунеем";"Брунее"
"Буркина Фасо";"Буркина Фасо";"Буркина Фасо";"Буркина Фасо";"Буркина Фасо";"Буркина Фасо"
"Бурунди";"Бурунди";"Бурунди";"Бурунди";"Бурунди";"Бурунди"
"Бутан";"Бутана";"Бутану";"Бутан";"Бутаном";"Бутане"
"Вануату";"Вануату";"Вануату";"Вануату";"Вануату";"Вануату"
"Ватикан";"Ватикана";"Ватикану";"Ватикан";"Ватиканом";"Ватикане"
"Великобритания";"Великобритании";"Великобритании";"Великобританию";"Великобританией";"Великобритании"
"Венгрия";"Венгрии";"Венгрии";"Венгрию";"Венгрией";"Венгрии"
"Венесуэла";"Венесуэлы";"Венесуэле";"Венесуэлу";"Венесуэлой";"Венесуэлле"
"Британские Виргинские острова";"Британских Виргинских островов";"Британским Виргинским островам";"Британские Виргинские острова";"Британскими Виргинскими островами";"Британских Виргинских островах"
"Американские Виргинские острова";"Американских Виргинских островов";"Американским Виргинским островам";"Американские Виргинские острова";"Американскими Виргинскими островами";"Американских Виргинских островах"
"Восточный Тимор";"Восточного Тимора";"Восточному Тимору";"Восточный Тимор";"Восточным Тимором";"Восточном Тиморе"
"Вьетнам";"Вьетнама";"Вьетнаму";"Вьетнам";"Вьетнамом";"Вьетнаме"
"Габон";"Габона";"Габону";"Габон";"Габоном";"Габоне"
"Гавайи";"Гавайев";"Гвайям";"Гавайи";"Гавайями";"Гавайях"
"Гаити";"Гаити";"Гаити";"Гаити";"Гаити";"Гаити"
"Гайана";"Гайаны";"Гайане";"Гайану";"Гайаной";"Гайане"
"Гамбия";"Гамбии";"Гамбии";"Гамбию";"Гамбией";"Гамбии"
"Гана";"Ганы";"Гане";"Гану";"Ганой";"Гане"
"Гваделупа";"Гваделупы";"Гваделупе";"Гваделупу";"Гваделупой";"Гваделупе"
"Гватемала";"Гватемалы";"Гватемале";"Гватемалу";"Гватемалой";"Гватемале"
"Гвинея";"Гвинеи";"Гвинеи";"Гвинею";"Гвинеей";"Гвинеи"
"Гвинея-Бисау";"Гвинеи-Бисау";"Гвинеи-Бисау";"Гвинею-Бисау";"Гвинеей-Бисау";"Гвинеи-Бисау"
"Германия";"Германии";"Германии";"Германию";"Германией";"Германии"
"Гернси";"Гернси";"Гернси";"Гернси";"Гернси";"Гернси"
"Гибралтар";"Гибралтара";"Гибралтару";"Гибралтар";"Гибралтаром";"Гибралтаре"
"Гондурас";"Гондураса";"Гондурасу";"Гондурас";"Гондурасом";"Гондурасе"
"Гонконг";"Гонконга";"Гонконгу";"Гонконг";"Гонконгом";"Гонконге"
"Гренада";"Гренады";"Гренаде";"Гренаду";"Гренадой";"Гренаде"
"Гренландия";"Гренландии";"Гренландии";"Гренландию";"Гренландией";"Гренландии"
"Греция";"Греции";"Греции";"Грецию";"Грецией";"Греции"
"Грузия";"Грузии";"Грузии";"Грузию";"Грузией";"Грузии"
"Гуам";"Гуама";"Гуаму";"Гуам";"Гуамом";"Гуаме"
"Дания";"Дании";"Дании";"Данию";"Данией";"Дании"
"Джерси";"Джерси";"Джерси";"Джерси";"Джерси";"Джерси"
"Джибути";"Джибути";"Джибути";"Джибути";"Джибути";"Джибути"
"Доминика";"Доминики";"Доминике";"Доминику";"Доминикой";"Доминике"
"Доминиканская Республика";"Доминиканской Республики";"Доминиканской Республике";"Доминиканскую Республику";"Доминиканской Республикой";"Доминиканской Республике"
"Египет";"Египта";"Египту";"Египет";"Египтом";"Египте"
"Замбия";"Замбии";"Замбии";"Замбию";"Замбией";"Замбии"
"Зимбабве";"Зимбабве";"Зимбабве";"Зимбабве";"Зимбабве";"Зимбабве"
"Израиль";"Израиля";"Израилю";"Израиль";"Израилем";"Израиле"
"Индия";"Индии";"Индии";"Индию";"Индией";"Индии"
"Индонезия";"Индонезии";"Индонезии";"Индонезию";"Индонезией";"Индонезии"
"Иордания";"Иордании";"Иордании";"Иорданию";"Иорданией";"Иордании"
"Ирак";"Ирака";"Ираку";"Ирак";"Ираком";"Ираке"
"Иран";"Ирана";"Ирану";"Иран";"Ираном";"Иране"
"Ирландия";"Ирландии";"Ирландии";"Ирландию";"Ирландией";"Ирландии"
"Исландия";"Исландии";"Исландии";"Исландию";"Исландией";"Исландии"
"Испания";"Испании";"Испании";"Испанию";"Испанией";"Испании"
"Италия";"Италии";"Италии";"Италию";"Италией";"Италии"
"Йемен";"Йемена";"Йемену";"Йемен";"Йеменом";"Йемене"
"Кабо-Верде";"Кабо-Верде";"Кабо-Верде";"Кабо-Верде";"Кабо-Верде";"Кабо-Верде"
"Казахстан";"Казахстана";"Казахстану";"Казахстан";"Казахстаном";"Казахстане"
"Каймановы острова";"Каймановых островов";"Каймановым островам";"Каймановы острова";"Каймановыми островами";"Каймановых островах"
"Камбоджа";"Камбоджи";"Камбодже";"Камбоджу";"Камбоджей";"Камбоджи"
"Камерун";"Камеруна";"Камеруну";"Камерун";"Камеруном";"Камеруне"
"Канада";"Канады";"Канаде";"Канаду";"Канадой";"Канаде"
"Канарские острова";"Канарских островов";"Канарским островам";"Канарские острова";"Канарскими островами";"Канарских островах"
"Катар";"Катара";"Катару";"Катар";"Катаром";"Катаре"
"Кения";"Кении";"Кении";"Кению";"Кенией";"Кении"
"Кипр";"Кипра";"Кипру";"Кипр";"Кипром";"Кипре"
"Киргизия";"Киргизии";"Киргизии";"Киргизию";"Киргизией";"Киргизии"
"Кирибати";"Кирибати";"Кирибати";"Кирибати";"Кирибати";"Кирибати"
"Китай";"Китая";"Китаю";"Китай";"Китаем";"Китае"
"Китайская Республика";"Китайской Республики";"Китайской Республике";"Китайскую Республику";"Китайской Республикой";"Китайской Республике"
"Кокосовые острова";"Кокосовых островов";"Кокосовым островам";"Кокосовые острова";"Кокосовые острова";"Кокосовых островах"
"Колумбия";"Колумбии";"Колумбии";"Колумбию";"Колумбией";"Колумбии"
"Коморы";"Комор";"Коморам";"Коморы";"Коморами";"Коморами"
"Республика Конго";"Республики Конго";"Республике Конго";"Республику Конго";"Республикой Конго";"Республики Конго"
"ДР Конго";"ДР Конго";"ДР Конго";"ДР Конго";"ДР Конго";"ДР Конго"
"КНДР";"КНДР";"КНДР";"КНДР";"КНДР";"КНДР"
"Республика Корея";"Републики Кореи";"Республике Кореи";"Республику Корею";"Республикой Кореей";"Республике Кореи"
"Республика Косово";"Республики Косово";"Республике Косово";"Республику Косово";"Республикой Косово";"Республике Косово"
"Коста-Рика";"Коста-Рики";"Коста-Рике";"Коста-Рику";"Коста-Рикой";"Коста-Рике"
"Кот-д’Ивуар";"Кот-д'Ивуара";"Кот-д'Ивуару";"Кот-д'Ивуар";"Кот-д'Ивуар";"Кот-д'Ивуар"
"Куба";"Кубы";"Кубе";"Кубу";"Кубой";"Кубе"
"Кувейт";"Кувейта";"Кувейту";"Кувейт";"Кувейтом";"Кувейте"
"Острова Кука";"Островов Кука";"Островам Кука";"Острова Кука";"Островами Кука";"Островах Кука"
"Кюрасао";"Кюрасао";"Кюрасао";"Кюрасао";"Кюрасао";"Кюрасао"
"Лаос";"Лаоса";"Лаосу";"Лаос";"Лаосом";"Лаосе"
"Латвия";"Латвии";"Латвии";"Латвию";"Латвией";"Латвии"
"Лесото";"Лесото";"Лесото";"Лесото";"Лесото";"Лесото"
"Либерия";"Либерии";"Либерии";"Либерию";"Либерией";"Либерии"
"Ливан";"Ливана";"Ливану";"Ливан";"Ливаном";"Ливане"
"Ливия";"Ливии";"Ливии";"Ливию";"Ливией";"Ливии"
"Литва";"Литвы";"Литве";"Литву";"Литвой";"Литве"
"Лихтенштейн";"Лихтенштейна";"Лихтенштейну";"Лихтенштейн";"Лихтенштейном";"Лихтенштейне"
"Люксембург";"Люксембург";"Люксембургу";"Люксембург";"Люксембургом";"Люксембурге"
"Маврикий";"Маврикия";"Маврикию";"Маврикий";"Маврикием";"Маврикии"
"Мавритания";"Мавритании";"Мавритании";"Мавританию";"Мавританией";"Мавритании"
"Мадагаскар";"Мадагаскара";"Мадагаскару";"Мадагаскар";"Мадагаскаром";"Мадагаскаре"
"Мадейра";"Мадейры";"Мадейре";"Мадейра";"Мадейрой";"Мадейре"
"Майотта";"Майотты";"Майотте";"Майотту";"Майоттой";"Майотте"
"Македония";"Македонии";"Македонии";"Македонию";"Македонией";"Македонии"
"Малави";"Малави";"Малави";"Малави";"Малави";"Малави"
"Малайзия";"Малайзии";"Малайзии";"Малайзию";"Малайзией";"Малайзии"
"Мали";"Мали";"Мали";"Мали";"Мали";"Мали"
"Мальдивы";"Мальдив";"Мальдивам";"Мальдивы";"Мальдивами";"Мальдивах"
"Мальта";"Мальты";"Мальте";"Мальту";"Мальтой";"Мальте"
"Марокко";"Марокко";"Марокко";"Марокко";"Марокко";"Марокко"
"Мартиника";"Мартиники";"Мартинике";"Мартинику";"Мартиникой";"Мартинике"
"Маршалловы Острова";"Маршалловых Островов";"Маршалловым Островам";"Маршалловы Острова";"Маршалловыми Островами";"Маршалловых Островах"
"Мексика";"Мексики";"Мексике";"Мексику";"Мексикой";"Мексике"
"Мелилья";"Мелильи";"Мелилье";"Мелилью";"Мелильей";"Мелилье"
"Микронезия";"Микронезии";"Микронезии";"Микронезию";"Микронезией";"Микронезии"
"Мозамбик";"Мозамбика";"Мозамбику";"Мозамбик";"Мозамбиком";"Мозамбике"
"Молдавия";"Молдавии";"Молдавии";"Молдавию";"Молдавией";"Молдавии"
"Монако";"Монако";"Монако";"Монако";"Монако";"Монако"
"Монголия";"Монголии";"Монголии";"Монголию";"Монголией";"Монголии"
"Монтсеррат";"Монтсеррата";"Монтсеррату";"Монтсеррат";"Монтсерратом";"Монтсеррате"
"Мьянма";"Мьянмы";"Мьянме";"Мьянму";"Мьянмой";"Мьянме"
"Остров Мэн";"Острова Мэн";"Островам Мэн";"Остров Мэн";"Островом Мэн";"Острове Мэн"
"Нагорно-Карабахская Республика";"Нагорно-Карабахской Республики";"Нагорно-Карабахской Республике";"Нагорно-Карабахскую Республику";"Нагорно-Карабахской Республикой";"Нагорно-Карабахской Республике"
"Намибия";"Намибии";"Намибии";"Намибию";"Намибией";"Намибии"
"Науру";"Науру";"Науру";"Науру";"Науру";"Науру"
"Непал";"Непала";"Непалу";"Непал";"Непалом";"Непале"
"Нигер";"Нигера";"Нигеру";"Нигер";"Нигером";"Нигере"
"Нигерия";"Нигерии";"Нигерии";"Нигерию";"Нигерией";"Нигерии"
"Нидерланды";"Нидерландов";"Нидерландам";"Нидерланды";"Нидерландами";"Нидерландах"
"Никарагуа";"Никарагуа";"Никарагуа";"Никарагуа";"Никарагуа";"Никарагуа"
"Ниуэ";"Ниуэ";"Ниуэ";"Ниуэ";"Ниуэ";"Ниуэ"
"Новая Зеландия";"Новой Зеландии";"Новой Зеландии";"Новую Зеландию";"Новой Зеландией";"Новой Зеландии"
"Новая Каледония";"Новой Каледонии";"Новой Каледонии";"Новую Каледонию";"Новой Каледонией";"Новой Каледонии"
"Норвегия";"Норвегии";"Норвегии";"Норвегию";"Норвегией";"Норвегии"
"Остров Норфолк";"Острова Норфолк";"Островам Норфолк";"Остров Норфолк";"Островом Норфолк";"Острове Норфолк"
"ОАЭ";"ОАЭ";"ОАЭ";"ОАЭ";"ОАЭ";"ОАЭ"
"Оман";"Омана";"Оману";"Оман";"Оманом";"Омане"
"Пакистан";"Пакистана";"Пакистану";"Пакистан";"Пакистаном";"Пакистане"
"Палау";"Палау";"Палау";"Палау";"Палау";"Палау"
"Палестина";"Палестины";"Палестине";"Палестину";"Палестиной";"Палестине"
"Панама";"Панамы";"Панаме";"Панаму";"Панамой";"Панаме"
"Папуа — Новая Гвинея";"Папуа — Новой Гвинеи";"Папуа — Новой Гвинеи";"Папуа — Новую Гвинею";"Папуа — Новой Гвинеей";"Папуа — Новой Гвинеи"
"Парагвай";"Парагвая";"Парагваю";"Парагвай";"Парагваем";"Парагвае"
"Перу";"Перу";"Перу";"Перу";"Перу";"Перу"
"Острова Питкэрн";"Островов Питкэрн";"Острову Питкэрн";"Остров Питкэрн";"Островом Питкэрн";"Острове Питкэрн"
"Польша";"Польши";"Польше";"Польшу";"Польшей";"Польше"
"Португалия";"Португалии";"Португалии";"Португалию";"Португалией";"Португалии"
"Приднестровская Молдавская Республика";"Приднестровской Молдавской Республики";"Приднестровской Молдавской Республике";"Приднестровскую Молдавскую Республику";"Приднестровской Молдавской Республике";"Приднестровской Молдавской Республике"
"Пуэрто-Рико";"Пуэрто-Рико";"Пуэрто-Рико";"Пуэрто-Рико";"Пуэрто-Рико";"Пуэрто-Рико"
"Реюньон";"Реюньона";"Реюньону";"Реюньон";"Реюньоном";"Реюньоне"
"Остров Рождества";"Острова Рождества";"Островам Рождества";"Острова Рождества";"Островами Рождества";"Островах Рождества"
"Россия";"России";"России";"Россию";"Россией";"России"
"Руанда";"Руанды";"Руанде";"Руанду";"Руандой";"Руанде"
"Румыния";"Румынии";"Румынии";"Румынию";"Румынией";"Румынии"
"Сальвадор";"Сальвадора";"Сальвадору";"Сальвадор";"Сальвадором";"Сальвадоре"
"Самоа";"Самоа";"Самоа";"Самоа";"Самоа";"Самоа"
"Сан-Марино";"Сан-Марино";"Сан-Марино";"Сан-Марино";"Сан-Марино";"Сан-Марино"
"Сан-Томе и Принсипи";"Сан-Томе и Принсипи";"Сан-Томе и Принсипи";"Сан-Томе и Принсипи";"Сан-Томе и Принсипи";"Сан-Томе и Принсипи"
"Сахарская Арабская Демократическая Республика";"Сахарской Арабской Демократической Республики";"Сахарской Арабской Демократической Республике";"Сахарскую Арабскую Демократическую Республику";"Сахарской Арабской Демократической Республикой";"Сахарской Арабской Демократической Республике"
"Саудовская Аравия";"Саудовской Аравии";"Саудовской Аравии";"Саудовскую Арвию";"Саудовской Аравией";"Саудовской Аравии"
"Свазилен";"Свазилена";"Свазилену";"Свазилен";"Свазиленом";"Свазилене"
"Острова Святой Елены, Вознесения и Тристан-да-Кунья";"Островов Святой Елены, Вознесения и Тристан-да-Кунья";"Островам Святой Елены, Вознесения и Тристан-да-Кунья";"Острова Святой Елены, Вознесения и Тристан-да-Кунья";"Островами Святой Елены, Вознесения и Тристан-да-Кунья";"Островах Святой Елены, Вознесения и Тристан-да-Кунья"
"Северные Марианские острова";"Северных Марианских островов";"Северным Марианским островам";"Северные Марианские острова";"Северными Марианскими островами";"Северных Марианских островах"
"Турецкая Республика Северного Кипра";"Турецкой Республики Северного Кипра";"Турецкой Республике Северного Кипра";"Турецкую Республику Северного Кипра";"Турецкой Республикой Северного Кипра";"Турецкой Республике Северного Кипра"
"Сейшельские Острова";"Сейшельских Островов";"Сейшельским Островам";"Сейшельские Острова";"Сейшельскими Островами";"Сейшельских Островах"
"Сенегал";"Сенегала";"Сенегалу";"Сенегал";"Сенегалом";"Сенегале"
"Сен-Мартен";"Сен-Мартена";"Сен-Мартену";"Сен-Мартен";"Сен-Мартеном";"Сен-Мартене"
"Сен-Пьер и Микелон";"Сен-Пьера и Микелона";"Сен-Пьеру и Микелону";"Сен-Пьер и Микелон";"Сен-Пьером и Микелоном";"Сен-Пьере и Микелоне"
"Сент-Винсент и Гренадины";"Сент-Винсента и Гренадин";"Сент-Винсенту и Гренадинам";"Сент-Винсент и Гренадины";"Сент-Винсентом и Гренадинами";"Сент-Винсенте и Гренадинах"
"Сент-Китс и Невис";"Сент-Китса и Невиса";"Сент-Китсу и Невису";"Сент-Китс и Невис";"Сент-Китсом и Невисом";"Сент-Китсе и Невисе"
"Сент-Люсия";"Сент-Люсии";"Сент-Люсии";"Сент-Люсию";"Сент-Люсией";"Сент-Люсии"
"Сербия";"Сербии";"Сербии";"Сербию";"Сербией";"Сербии"
"Сеута";"Сеуты";"Сеуте";"Сеуту";"Сеутой";"Сеуте"
"Силенд";"Силенда";"Силенду";"Силенд";"Силендом";"Силенде"
"Синт-Маартен";"Синт-Маартена";"Синт-Маартену";"Синт-Маартен";"Сент-Маартеном";"Сент-Маартене"
"Сингапур";"Сингапура";"Сингапуру";"Сингапур";"Сингапуром";"Сингапуре"
"Сирия";"Сирии";"Сирии";"Сирию";"Сирией";"Сирии"
"Словакия";"Словакии";"Словакии";"Словакию";"Словакией";"Словакии"
"Словения";"Словении";"Словении";"Словению";"Словенией";"Словении"
"США";"США";"США";"США";"США";"США"
"Соломоновы Острова";"Соломоновых Островов";"Соломоновым Островам";"Соломоновы Острова";"Соломоновыми Островами";"Соломоновых Островах"
"Сомали";"Сомали";"Сомали";"Сомали";"Сомали";"Сомали"
"Сомалиленд";"Сомалиленда";"Сомалиленду";"Сомалиленд";"Сомалилендом";"Сомалиленде"
"Судан";"Судана";"Судану";"Судан";"Суданом";"Судане"
"Суринам";"Суринама";"Суринаму";"Суринам";"Суринамом";"Суринаме"
"Сьерра-Леоне";"Сьерра-Леоне";"Сьерра-Леоне";"Сьерра-Леоне";"Сьерра-Леоне";"Сьерра-Леоне"
"Таджикистан";"Таджикистана";"Таджикистану";"Таджикистан";"Таджикистаном";"Таджикистане"
"Таиланд";"Таиланда";"Таиланду";"Таиланд";"Таиландом";"Таиланде"
"Танзания";"Танзании";"Танзании";"Танзанию";"Танзанией";"Танзании"
"Тёркс и Кайкос";"Тёркса и Кайкоса";"Тёрксу и Кайкосу";"Тёркс и Кайкос";"Тёрксом и Кайкосом";"Тёрксе и Кайкосе"
"Того";"Того";"Того";"Того";"Того";"Того"
"Токелау";"Токелау";"Токелау";"Токелау";"Токелау";"Токелау"
"Тонга";"Тонга";"Тонга";"Тонга";"Тонга";"Тонга"
"Тринидад и Тобаго";"Тринидада и Тобаго";"Тринидаду И Тобаго";"Тринидад и Тобаго";"Тринидадом и Тобаго";"Тринидаде и Тобаго"
"Тувалу";"Тувалу";"Тувалу";"Тувалу";"Тувалу";"Тувалу"
"Тунис";"Туниса";"Тунису";"Тунис";"Тунисом";"Тунисе"
"Туркмения";"Туркмении";"Туркмении";"Туркмению";"Туркменией";"Туркмении"
"Турция";"Турции";"Турции";"Турцию";"Турцией";"Турции"
"Уганда";"Уганды";"Уганде";"Уганду";"Угандой";"Уганде"
"Узбекистан";"Узбекистана";"Узбекистану";"Узбекистан";"Узбекистаном";"Узбекистане"
"Украина";"Украины";"Украине";"Украину";"Украиной";"Украине"
"Уоллис и Футуна";"Уоллис и Футуны";"Уоллис и Футуне";"Уоллис и Футуну";"Уоллисом и Футуной";"Уоллисе и Футуне"
"Уругвай";"Уругвая";"Уругваю";"Уругвай";"Уругваем";"Уругвае"
"Фарерские острова";"Фарерских островов";"Фарерским островам";"Фарерские острова";"Ферерскими островами";"Ферерских островах"
"Фиджи";"Фиджи";"Фиджи";"Фиджи";"Фиджи";"Фиджи"
"Филиппины";"Филиппин";"Филиппинам";"Филиппины";"Филиппинами";"Филиппинах"
"Финляндия";"Финляндии";"Финляндии";"Финляндию";"Финляндией";"Финляндии"
"Фолклендские острова";"Фолклендских островов";"Фолклендским островам";"Фолклендские острова";"Фолклендскими островами";"Фолклендских островах"
"Франция";"Франции";"Франции";"Францию";"Францией";"Франции"
"Французская Гвиана";"Французской Гвианы";"Французской Гвиане";"Французскую Гвиану";"Французской Гвианой";"Французской Гвиане"
"Французская Полинезия";"Французской Полинезии";"Французской Полинезии";"Французскую Полинезию";"Французской Полинезией";"Французской Полинезии"
"Французские Южные и Антарктические Территории";"Французских Южных и Антарктических Территорий";"Французским Южным и Антарктическим Территориям";"Французские Южные и Антарктические Территории";"Французскими Южными и Антарктическими Территориями";"Французских Южных и Антарктических Территориях"
"Хорватия";"Хорватии";"Хорватии";"Хорватию";"Хорватией";"Хорватии"
"ЦАР";"ЦАР";"ЦАР";"ЦАР";"ЦАР";"ЦАР"
"Чад";"Чада";"Чаду";"Чад";"Чадом";"Чаде"
"Черногория";"Черногории";"Черногории";"Черногорию";"Черногорией";"Черногории"
"Чехия";"Чехии";"Чехии";"Чехию";"Чехией";"Чехии"
"Чили";"Чили";"Чили";"Чили";"Чили";"Чили"
"Швейцария";"Швейцарии";"Швейцарии";"Швейцарию";"Швейцарией";"Швейцарии"
"Швеция";"Швеции";"Швеции";"Швецию";"Швецией";"Швеции"
"Шпицберген";"Шпицбергена";"Шпицбергену";"Шпицберген";"Шпицбергеном";"Шпицбергене"
"Шри-Ланка";"Шри-Ланки";"Шри-Ланке";"Шри-Ланку";"Шри-Ланкой";"Шри-Ланке"
"Эквадор";"Эквадора";"Эквадору";"Эквадор";"Эквадором";"Эквадоре"
"Экваториальная Гвинея";"Экваториальной Гвинеи";"Экваториальной Гвинеи";"Экваториальную Гвинею";"Экваториальной Гвинеей";"Экваториальной Гвинее"
"Эритрея";"Эритреи";"Эритреи";"Эритрею";"Эритреей";"Эритрее"
"Эстония";"Эстонии";"Эстонии";"Эстонию";"Эстонией";"Эстонии"
"Эфиопия";"Эфиопии";"Эфиопии";"Эфиопию";"Эфиопией";"Эфиопии"
"Южная Георгия и Южные Сандвичевы острова";"Южной Георгии и Южных Сандвичевых островов";"Южной Георгии и Южным Сандвичевым островам";"Южную Георгию и Южные Сандвичевы острова";"Южной Георгией и Южными Сандвичевыми островами";"Южной Георгиии и Южных Сандвичевых островах"
"Южная Осетия";"Южной Осетии";"Южной Осетии";"Южную Осетию";"Южной Осетией";"Южной Осетии"
"ЮАР";"ЮАР";"ЮАР";"ЮАР";"ЮАР";"ЮАР"
"Южный Судан";"Южного Судана";"Южному Судану";"Южный Судан";"Южным Суданом";"Южном Судане"
"Ямайка";"Ямайки";"Ямайке";"Ямайку";"Ямайкой";"Ямайке"
"Япония";"Японии";"Японии";"Японию";"Японией";"Японии"
